DATE,PATHWAYS_COUNT,PATHWAY
2006-10-24,763,West
2006-10-25,417,Center
2006-10-25,19,East
2006-10-25,302,Far West
2006-10-25,248,West
2006-10-26,12,Center
2006-10-26,484,East
2006-10-26,347,Far West
2006-10-26,120,West
2006-10-27,61,Center
2006-10-27,204,East
2006-10-27,361,Far West
2006-10-27,278,West
2006-10-28,554,Center
2006-10-28,57,East
2006-10-28,97,Far West
2006-10-28,287,West
2006-10-29,148,Center
2006-10-29,521,East
2006-10-29,46,Far West
2006-10-29,195,West
2006-10-30,138,Center
2006-10-30,94,East
2006-10-30,390,Far West
2006-10-30,264,West
2006-10-31,115,Center
2006-10-31,315,East
2006-10-31,150,Far West
2006-10-31,473,West
2006-11-01,298,Center
2006-11-01,95,East
2006-11-01,42,Far West
2006-11-01,500,West
2006-11-02,302,Center
2006-11-02,244,East
2006-11-02,16,Far West
2006-11-02,270,West
2006-11-03,100,Center
2006-11-03,271,East
2006-11-03,314,Far West
2006-11-03,287,West
2006-11-04,845,Center
2006-11-04,159,East
2006-11-04,35,Far West
2006-11-04,92,West
2006-11-05,169,Center
2006-11-05,215,East
2006-11-05,85,Far West
2006-11-05,382,West
2006-11-06,568,Center
2006-11-06,264,East
2006-11-06,77,Far West
2006-11-06,4,West
2006-11-07,459,Center
2006-11-07,225,East
2006-11-07,327,Far West
2006-11-07,68,West
2006-11-08,45,Center
2006-11-08,485,East
2006-11-08,32,Far West
2006-11-08,343,West
2006-11-09,143,Center
2006-11-09,12,East
2006-11-09,838,Far West
2006-11-09,124,West
2006-11-10,347,Center
2006-11-10,334,East
2006-11-10,216,Far West
2006-11-10,32,West
2006-11-11,239,Center
2006-11-11,163,East
2006-11-11,446,Far West
2006-11-11,29,West
2006-11-12,364,Center
2006-11-12,74,East
2006-11-12,106,Far West
2006-11-12,412,West
2006-11-13,499,Center
2006-11-13,414,East
2006-11-13,15,Far West
2006-11-13,31,West
2006-11-14,18,Center
2006-11-14,444,East
2006-11-14,175,Far West
2006-11-14,77,West
2006-11-15,187,Center
2006-11-15,9,East
2006-11-15,423,Far West
2006-11-15,423,West
2006-11-16,124,Center
2006-11-16,270,East
2006-11-16,13,Far West
2006-11-16,495,West
2006-11-17,213,Center
2006-11-17,597,East
2006-11-17,73,Far West
2006-11-17,273,West
2006-11-18,117,Center
2006-11-18,114,East
2006-11-18,607,Far West
2006-11-18,85,West
2006-11-19,225,Center
2006-11-19,28,East
2006-11-19,103,Far West
2006-11-19,696,West
2006-11-20,43,Center
2006-11-20,250,East
2006-11-20,265,Far West
2006-11-20,260,West
2006-11-21,11,Center
2006-11-21,577,East
2006-11-21,38,Far West
2006-11-21,332,West
2006-11-22,246,Center
2006-11-22,72,East
2006-11-22,261,Far West
2006-11-22,247,West
2006-11-23,87,Center
2006-11-23,74,East
2006-11-23,585,Far West
2006-11-23,204,West
2006-11-24,93,Center
2006-11-24,364,East
2006-11-24,357,Far West
2006-11-24,55,West
2006-11-25,153,Center
2006-11-25,76,East
2006-11-25,327,Far West
2006-11-25,412,West
2006-11-26,266,Center
2006-11-26,211,East
2006-11-26,223,Far West
2006-11-26,310,West
2006-11-27,443,Center
2006-11-27,48,East
2006-11-27,196,Far West
2006-11-27,196,West
2006-11-28,35,Center
2006-11-28,348,East
2006-11-28,484,Far West
2006-11-28,88,West
2006-11-29,216,Center
2006-11-29,117,East
2006-11-29,482,Far West
2006-11-29,10,West
2006-11-30,183,Center
2006-11-30,64,East
2006-11-30,48,Far West
2006-11-30,503,West
2006-12-01,8,Center
2006-12-01,528,East
2006-12-01,46,Far West
2006-12-01,417,West
2006-12-02,587,Center
2006-12-02,108,East
2006-12-02,62,Far West
2006-12-02,88,West
2006-12-03,82,Center
2006-12-03,646,East
2006-12-03,161,Far West
2006-12-03,25,West
2006-12-04,11,Center
2006-12-04,406,East
2006-12-04,43,Far West
2006-12-04,505,West
2006-12-05,326,Center
2006-12-05,93,East
2006-12-05,8,Far West
2006-12-05,436,West
2006-12-06,178,Center
2006-12-06,108,East
2006-12-06,144,Far West
2006-12-06,474,West
2006-12-07,52,Center
2006-12-07,160,East
2006-12-07,235,Far West
2006-12-07,348,West
2006-12-08,264,Center
2006-12-08,45,East
2006-12-08,422,Far West
2006-12-08,234,West
2006-12-09,377,Center
2006-12-09,31,East
2006-12-09,46,Far West
2006-12-09,420,West
2006-12-10,98,Center
2006-12-10,414,East
2006-12-10,207,Far West
2006-12-10,262,West
2006-12-11,68,Center
2006-12-11,93,East
2006-12-11,28,Far West
2006-12-11,638,West
2006-12-12,86,Center
2006-12-12,287,East
2006-12-12,293,Far West
2006-12-12,208,West
2006-12-13,254,Center
2006-12-13,371,East
2006-12-13,107,Far West
2006-12-13,411,West
2006-12-14,135,Center
2006-12-14,94,East
2006-12-14,250,Far West
2006-12-14,350,West
2006-12-15,299,Center
2006-12-15,104,East
2006-12-15,181,Far West
2006-12-15,379,West
2006-12-16,47,Center
2006-12-16,288,East
2006-12-16,323,Far West
2006-12-16,182,West
2006-12-17,7,Center
2006-12-17,744,East
2006-12-17,59,Far West
2006-12-17,306,West
2006-12-18,81,Center
2006-12-18,544,East
2006-12-18,144,Far West
2006-12-18,58,West
2006-12-19,41,Center
2006-12-19,554,East
2006-12-19,177,Far West
2006-12-19,190,West
2006-12-20,350,Center
2006-12-20,262,East
2006-12-20,171,Far West
2006-12-20,54,West
2006-12-21,124,Center
2006-12-21,118,East
2006-12-21,270,Far West
2006-12-21,363,West
2006-12-22,119,Center
2006-12-22,185,East
2006-12-22,290,Far West
2006-12-22,214,West
2006-12-23,367,Center
2006-12-23,2,East
2006-12-23,47,Far West
2006-12-23,619,West
2006-12-24,13,Center
2006-12-24,348,East
2006-12-24,13,Far West
2006-12-24,468,West
2006-12-25,111,Center
2006-12-25,28,East
2006-12-25,387,Far West
2006-12-25,213,West
2006-12-26,436,Center
2006-12-26,248,East
2006-12-26,103,Far West
2006-12-26,208,West
2006-12-27,39,Center
2006-12-27,168,East
2006-12-27,386,Far West
2006-12-27,193,West
2006-12-28,150,Center
2006-12-28,133,East
2006-12-28,198,Far West
2006-12-28,472,West
2006-12-29,344,Center
2006-12-29,294,East
2006-12-29,6,Far West
2006-12-29,356,West
2006-12-30,162,Center
2006-12-30,64,East
2006-12-30,628,Far West
2006-12-30,55,West
2006-12-31,66,Center
2006-12-31,96,East
2006-12-31,173,Far West
2006-12-31,665,West
